particulars,uom,unit_cost,supply_code,specifications,category_item_id,category_item_budget_id,category_group_id,is_ppmp
Lei,UNIT,500,OTS-1133,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Lei,PIECE,500,OTS-1022,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Lei,PIECE,200,OOS-007,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Lei; Certificates; and Frames,PIECE,1417.25,OTS-089,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Lei; Certificates; and Frames,UNIT,550,OTS-1026,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Lei; Food and Accommodation of the speaker and guest,PIECE,5314.68,OTS-091,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Lei; Food and Accommodation of the speaker and guest,PAX,550,OTS-1017,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Lei; Large size,PIECE,283.46,TS-063,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Lei; Medium size,PIECE,292.31,TS-064,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Lei; Medium size,PIECE,292.31,TS-0644,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Lei; Medium size,PIECE,199.65,TOS,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Lei; Small size,PIECE,248.02,TS-065,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Leis for Male Candidates,PIECE,2093.66,OTS-092,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Leis for Male Candidates,UNIT,1650,OTS-1021,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
MEDAL AND CERTIFICATES,PIECE,385,OTS-404,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Mascot,UNIT,5000,OTS-1117,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Mascot (DEER); customize,PIECE,5314.68,OTS-096,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Mascot Deer Costumize,PIECE,10629.37,OTS-097,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Medal,UNIT,150,OTS-1119,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Medal Awards: Book & Torch Medal Bronze 5 CMS,PIECE,33,OTS-901,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Medal Awards: Book & Torch Medal Gold 5 CMS,PIECE,33,OTS-899,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
Medal and Awards: Book & Torch Medal Silver 5 CMS,PIECE,33,OTS-900,1040499000-Other Supplies and Materials Inventory - 00006-Supplies for Official Programs/Functions,103,1,5,
