particulars,uom,unit_cost,supply_code,specifications,category_item_id,category_item_budget_id,category_group_id,is_ppmp
SKSU-COLLEGE INSURANCE Coverage: Accidental death and or permanent disablement Uprovoked murder and assault Double indemnity while riding as a fare-paying passenger in an Public transport Special cash assistance in case of death due to accident inside the school premises Daily cash allowance whilw confined due to accident but not over 90 days Cash assistance in case of death due accident Medical reimbursement for accidental injuries in/out patient,HEAD,26.62,IS-14,1990205000-Prepaid Insurance - 00000-Prepaid Insurance,169,56,22,
SKSU-HIGHSCHOOL INSURANCE Coverage: Accidental death and or permanent disablement Uprovoked murder and assault Double indemnity while riding as a fare-paying passenger in an Public transport Special cash assistance in case of death due to accident inside the school premises Daily cash allowance whilw confined due to accident but not over 90 days Cash assistance in case of death due accident Medical reimbursement for accidental injuries in/out patient,HEAD,133.10,1S-15,1990205000-Prepaid Insurance - 00000-Prepaid Insurance,169,56,22,
ANTI-PLAGIARISM AND GRAMMAR CHECKER SOFTWARE-LMS,LOT,780000.00,28SS-0001,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Adobe Package License,LICENSE,44289.03,28SS-8,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Anti-Virus Software,LICENSE,1610.51,28SS-9,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Antivirus License,LICENSE,3543.12,28SS-10,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Audio Streaming Software license tools,LICENSE,35431.22,28SS-11,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Canva Subscription,SUBSCRIPTION,3645.61,28SS-12,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Computer Software(Volumes with Prismoidal Correction),LICENSE,17715.61,28SS-15,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Computer game or entertainment software,license,1.00,43232004-SFT-003,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Computer; Bioinformatics; Data Analytics Software Licenses,UNIT,50000.00,28SS,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Content authoring and editing software,license,1.00,43232107-SFT-004,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Content management software,license,1.00,43232202-SFT-005,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Data management and query software,license,1.00,43232304-SFT-006,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Development software,license,1.00,43232402-SFT-007,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
ERP Software,LICENSE,2923.09,28SS-18,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
EndNote 20 (Full License),LICENSE,23352.40,28SS-29,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Eviews 10,LICENSE,364410.10,28SS-31,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Finance accounting and enterprise resource planning ERP software,license,1.00,43231602-SFT-002,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Firewall subscriptions,MON.,43923.00,28SS-32,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Getaway Servicx Paln Software Renewal,LICENSE,30000.00,28SS,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Google Meet Plus Custom and secure business email + eDiscovery; retention; S/MIME encryptiondone500 participant video meetings + recording; attendance tracking; noise cancellation; in-domain live streamingdoneAs much storage as you needdoneAdvanced security; management; and compliance controls; including Vault; DLP; data regions; and enterprise endpoint managementdoneEnhanced Support (paid upgrade to Premium Support,PACKAGE,644204.00,28SS-33,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Google Workspace Education,LICENSE,330.02,28SS-098,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Grammarly Subscription (1 year),LOT,220000.00,28SS-34,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Industry specific software,license,1.00,43232603-SFT-009,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Information exchange software,license,1.00,43233501-SFT-016,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
LICENSE SOFTWARE,PACKAGE,3032502.48,28SS-40,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Learner's Information System,LOT,3543122.00,28SS-41,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Learning Management System,LOT,8857805.00,28SS-42,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
Library Automation Software/Integrated Library System (OPAC),LOT,1417248.80,28SS-43,1990210000-Prepaid Subscription - 01000-ICT Software Subscription,170,57,40,
