particulars,uom,unit_cost,supply_code,specifications,category_item_id,category_item_budget_id,category_group_id,is_ppmp
Health Kit for Hatag Bilig,UNIT,24157.65,53MED-79,"00000-Medical, Dental and Laboratory Supplies for Distribution",172,1,5,
20 reams bondpaper @P250*20,REAM,5808,OS-1010,1040401000-Office Supplies Inventory - 00001-Printing Papers,92,2,4,
20 reams bondpaper @P300*20,REAM,10000,OS-1012,1040401000-Office Supplies Inventory - 00001-Printing Papers,92,2,4,
30 reams bondpaper @P300*30,REAM,9000,OS-1008,1040401000-Office Supplies Inventory - 00001-Printing Papers,92,2,4,
A4 Bond paper,BOX,1200,OS-410,1040401000-Office Supplies Inventory - 00001-Printing Papers,92,2,4,
A4 Bond paper,BOX,1200,OS-339,1040401000-Office Supplies Inventory - 00001-Printing Papers,92,2,4,
BOND PAPER,REAM,310,DBP-80141505-TS-023,1040401000-Office Supplies Inventory - 00001-Printing Papers,92,2,4,
Board paper for certificates (White -  8.5 x 13”),PACK,100.75,OS-301,1040401000-Office Supplies Inventory - 00001-Printing Papers,92,2,4,
Bond Paper (A4),REAM,200,OS-701,1040401000-Office Supplies Inventory - 00001-Printing Papers,92,2,4,
Bond Paper A4,REAM,330,OS-844,1040401000-Office Supplies Inventory - 00001-Printing Papers,92,2,4,
"Bond Paper Short (8.5"" x 11"") 70gsm 5 Reams/ Box",BOX,1787.5,OS,1040401000-Office Supplies Inventory - 00001-Printing Papers,92,2,4,
"Bond Paper Short (8.5"" x 11"") 70gsm 5 Reams/ Box",BOX,1787.5,OS-020,1040401000-Office Supplies Inventory - 00001-Printing Papers,92,2,4,
"Bond Paper; Short (8.5""x11"") 80gsm 5 Reams/ Box",BOX,1980,OS-1007,1040401000-Office Supplies Inventory - 00001-Printing Papers,92,2,4,
"Bond Paper; Short (8.5""x11""); 80gsm",REAM,242,OS,1040401000-Office Supplies Inventory - 00001-Printing Papers,92,2,4,
Bond paper A3 297 x 420 mm 70gsm 5 Reams/ Box,BOX,3575,OS-014,1040401000-Office Supplies Inventory - 00001-Printing Papers,92,2,4,
Bond paper A3 297 x 420 mm80gsm 5 Reams/ Box,BOX,3883,OS-015,1040401000-Office Supplies Inventory - 00001-Printing Papers,92,2,4,
Bond paper A4,BOX,1650,OS-400,1040401000-Office Supplies Inventory - 00001-Printing Papers,92,2,4,
Bond paper A4 814 x 1134 70gsm 5 Reams/ Box,BOX,2035,OS-016,1040401000-Office Supplies Inventory - 00001-Printing Papers,92,2,4,
